commence_time,home_team_name,away_team_name,spread,home_spread_odds,away_spread_odds,home_money_line_odds,away_money_line_odds,home_score,away_score
2023-04-21 23:05:00,Baltimore Orioles,Detroit Tigers,-1.5,120.00,-140.00,-180.00,152.00,2,1
2023-04-22 00:05:00,Texas Rangers,Oakland Athletics,-1.5,100.00,-120.00,-200.00,168.00,4,5
2023-04-22 00:10:00,Milwaukee Brewers,Boston Red Sox,-1.5,120.00,-140.00,-166.00,140.00,3,5
2023-04-22 00:10:00,Minnesota Twins,Washington Nationals,-1.5,105.00,-125.00,-205.00,172.00,2,3
2023-04-21 23:05:00,Philadelphia Phillies,Colorado Rockies,-1.5,-130.00,110.00,178.00,-230.00,4,3
2023-04-22 01:38:00,Los Angeles Angels,Kansas City Royals,-1.5,-135.00,115.00,-255.00,210.00,2,0
2023-04-22 17:05:00,New York Yankees,Toronto Blue Jays,-1.5,140.00,-165.00,-162.00,136.00,3,2
2023-04-22 19:05:00,Philadelphia Phillies,Colorado Rockies,-1.5,110.00,-130.00,-168.00,142.00,4,3
2023-04-22 20:05:00,Tampa Bay Rays,Chicago White Sox,-1.5,125.00,-145.00,-172.00,144.00,4,3
2023-04-22 23:04:58,Baltimore Orioles,Detroit Tigers,-1.5,115.00,-135.00,-172.00,144.00,5,1
2023-04-22 23:05:00,Texas Rangers,Oakland Athletics,-1.5,-110.00,-110.00,-210.00,176.00,18,3
2023-04-23 01:07:00,Los Angeles Angels,Kansas City Royals,-1.5,105.00,-125.00,-178.00,150.00,8,11
2023-04-23 01:40:00,Seattle Mariners,St. Louis Cardinals,-1.5,140.00,-165.00,-164.00,138.00,5,4
2023-04-23 17:35:00,Baltimore Orioles,Detroit Tigers,-1.5,120.00,-140.00,-166.00,140.00,2,1
2023-04-23 18:10:00,Milwaukee Brewers,Boston Red Sox,-1.5,115.00,-135.00,-172.00,144.00,5,12
2023-04-23 18:10:00,Minnesota Twins,Washington Nationals,-1.5,-115.00,-105.00,-200.00,168.00,3,1
2023-04-23 20:07:00,Los Angeles Angels,Kansas City Royals,-1.5,100.00,-120.00,-200.00,168.00,4,3
2023-04-23 23:10:00,San Francisco Giants,New York Mets,1.5,-165.00,140.00,-190.00,148.00,5,4
2023-04-24 22:09:31,Cleveland Guardians,Colorado Rockies,-1.5,105.00,-125.00,-200.00,168.00,0,6
2023-04-24 23:07:00,Toronto Blue Jays,Chicago White Sox,-1.5,125.00,-145.00,-172.00,144.00,5,2
2023-04-24 23:20:00,Atlanta Braves,Miami Marlins,-1.5,-120.00,100.00,-255.00,210.00,11,0
2023-04-25 01:38:00,Los Angeles Angels,Oakland Athletics,-1.5,-110.00,-110.00,-200.00,168.00,10,11
2023-04-24 23:40:00,Minnesota Twins,New York Yankees,-1.5,150.00,-175.00,-200.00,154.00,6,1
2023-04-25 01:40:00,Arizona Diamondbacks,Kansas City Royals,1.5,-170.00,145.00,-156.00,132.00,5,4
2023-04-25 22:10:00,Cleveland Guardians,Colorado Rockies,-1.5,105.00,-125.00,-190.00,160.00,1,5
2023-04-25 22:39:52,Tampa Bay Rays,Houston Astros,-1.5,140.00,-165.00,-164.00,138.00,0,5
2023-04-25 23:07:00,Toronto Blue Jays,Chicago White Sox,-1.5,105.00,-125.00,-184.00,154.00,7,0
2023-04-25 23:40:00,Milwaukee Brewers,Detroit Tigers,-1.5,125.00,-145.00,-166.00,140.00,3,4
2023-04-26 01:38:00,Los Angeles Angels,Oakland Athletics,-1.5,110.00,-130.00,-184.00,154.00,5,3
2023-04-25 23:10:00,New York Mets,Washington Nationals,1.5,-130.00,100.00,138.00,-176.00,0,5
2023-04-25 23:19:56,Atlanta Braves,Miami Marlins,-1.5,-115.00,-105.00,-260.00,194.00,7,4
2023-04-26 17:07:00,Toronto Blue Jays,Chicago White Sox,-1.5,110.00,-130.00,-166.00,140.00,8,0
2023-04-26 17:40:00,Milwaukee Brewers,Detroit Tigers,-1.5,-105.00,-115.00,-225.00,188.00,6,2
2023-04-26 19:40:00,Arizona Diamondbacks,Kansas City Royals,-1.5,-130.00,110.00,-255.00,210.00,2,0
2023-04-26 23:10:00,New York Mets,Washington Nationals,-1.5,-105.00,-115.00,-190.00,160.00,1,4
2023-04-26 23:20:00,Atlanta Braves,Miami Marlins,-1.5,140.00,-165.00,-162.00,136.00,6,4
2023-04-26 22:35:00,Pittsburgh Pirates,Los Angeles Dodgers,1.5,-155.00,135.00,-192.00,150.00,8,1
2023-04-26 22:40:00,Tampa Bay Rays,Houston Astros,1.5,-190.00,155.00,132.00,-168.00,0,1
2023-04-27 16:20:00,Atlanta Braves,Miami Marlins,-1.5,105.00,-125.00,-198.00,166.00,4,5
2023-04-27 16:35:00,Pittsburgh Pirates,Los Angeles Dodgers,1.5,-115.00,-105.00,144.00,-172.00,6,2
2023-04-27 23:10:00,New York Mets,Washington Nationals,-1.5,100.00,-120.00,-235.00,194.00,9,8
2023-04-27 23:40:00,Minnesota Twins,Kansas City Royals,-1.5,100.00,-120.00,-190.00,160.00,7,1
2023-04-28 00:05:00,Texas Rangers,New York Yankees,1.5,-130.00,110.00,134.00,-158.00,2,4
2023-04-28 22:05:00,Minnesota Twins,Kansas City Royals,-1.5,-110.00,-110.00,-225.00,188.00,8,6
2023-04-29 00:05:00,Texas Rangers,New York Yankees,-1.5,115.00,-135.00,-188.00,158.00,5,2
2023-04-29 00:10:00,Houston Astros,Philadelphia Phillies,-1.5,140.00,-165.00,-158.00,134.00,1,3
