commence_time,first_home_odds,first_away_odds,home_score,away_score,result
2023-05-27 23:16:43,-178.00,150.00,5,8,AWAY WIN
2023-05-28 02:07:00,-210.00,176.00,5,8,AWAY WIN
2023-05-28 17:35:00,-158.00,134.00,10,7,HOME WIN
2023-05-28 20:10:00,-156.00,132.00,6,3,HOME WIN
2023-05-29 20:10:00,-178.00,150.00,7,5,HOME WIN
2023-05-30 22:40:00,-154.00,130.00,4,9,AWAY WIN
2023-05-30 23:07:00,-162.00,136.00,7,2,HOME WIN
2023-05-30 23:10:00,-198.00,166.00,8,9,AWAY WIN
2023-05-30 23:45:00,-196.00,164.00,2,1,HOME WIN
2023-05-31 01:45:00,-162.00,136.00,1,2,AWAY WIN
2023-05-31 23:07:00,-200.00,168.00,2,4,AWAY WIN
2023-05-31 23:10:00,-174.00,146.00,4,5,AWAY WIN
2023-06-01 00:10:00,-178.00,150.00,2,8,AWAY WIN
2023-06-01 01:40:00,-178.00,150.00,6,0,HOME WIN
2023-06-01 17:07:00,-200.00,168.00,3,1,HOME WIN
2023-06-01 17:10:00,-172.00,144.00,4,2,HOME WIN
2023-06-01 19:40:00,-174.00,146.00,5,4,HOME WIN
2023-06-01 23:10:00,-180.00,152.00,8,2,HOME WIN
2023-06-02 22:40:00,-198.00,166.00,4,0,HOME WIN
2023-06-03 00:10:00,-154.00,130.00,3,0,HOME WIN
2023-06-03 01:40:00,-154.00,130.00,1,2,AWAY WIN
2023-06-03 20:10:00,-180.00,152.00,9,6,HOME WIN
2023-06-03 20:10:00,-180.00,152.00,12,1,HOME WIN
2023-06-04 02:10:00,-158.00,134.00,6,0,HOME WIN
2023-06-04 18:10:00,-158.00,134.00,6,2,HOME WIN
2023-06-04 18:10:00,-162.00,136.00,1,2,AWAY WIN
2023-06-05 23:05:00,-174.00,146.00,5,4,HOME WIN
2023-06-06 01:10:00,-162.00,136.00,5,0,HOME WIN
2023-06-06 22:40:00,-178.00,150.00,7,0,HOME WIN
2023-06-06 23:05:00,-178.00,150.00,2,3,AWAY WIN
2023-06-07 00:30:00,-162.00,136.00,6,4,HOME WIN
2023-06-07 16:35:00,-178.00,150.00,5,9,AWAY WIN
2023-06-07 22:10:00,-164.00,138.00,6,1,HOME WIN
2023-06-07 23:07:00,-156.00,132.00,3,2,HOME WIN
2023-06-07 23:10:00,-166.00,130.00,5,2,HOME WIN
2023-06-08 17:10:00,-174.00,146.00,4,2,HOME WIN
2023-06-08 23:20:00,-172.00,144.00,13,10,HOME WIN
2023-06-09 22:40:00,-174.00,146.00,8,3,HOME WIN
2023-06-09 23:05:00,-172.00,144.00,3,2,HOME WIN
2023-06-09 23:05:00,-168.00,142.00,2,3,AWAY WIN
2023-06-09 23:20:00,-200.00,168.00,3,2,HOME WIN
2023-06-10 00:15:00,-174.00,146.00,7,4,HOME WIN
2023-06-10 18:15:00,-164.00,138.00,4,8,AWAY WIN
2023-06-10 20:10:00,-196.00,164.00,6,4,HOME WIN
2023-06-10 20:10:00,-196.00,164.00,1,2,AWAY WIN
2023-06-10 23:35:00,-192.00,150.00,0,4,AWAY WIN
2023-06-11 02:07:00,-154.00,130.00,2,6,AWAY WIN
2023-06-11 17:37:00,-210.00,176.00,7,6,HOME WIN
2023-06-11 17:40:00,-200.00,168.00,7,3,HOME WIN
2023-06-11 18:10:00,-210.00,176.00,6,8,AWAY WIN
2023-06-13 00:05:00,-154.00,130.00,6,9,AWAY WIN
2023-06-13 23:10:00,-215.00,180.00,6,7,AWAY WIN
2023-06-14 01:40:00,-162.00,136.00,6,3,HOME WIN
2023-06-14 01:40:00,-166.00,140.00,9,3,HOME WIN
2023-06-14 02:10:00,-205.00,172.00,5,1,HOME WIN
2023-06-14 17:10:00,-162.00,136.00,4,2,HOME WIN
2023-06-15 01:40:00,-196.00,164.00,1,4,AWAY WIN
2023-06-15 23:10:00,-215.00,180.00,4,8,AWAY WIN
2023-06-16 00:05:00,-158.00,134.00,7,2,HOME WIN
2023-06-16 00:40:00,-172.00,144.00,6,8,AWAY WIN
2023-06-16 02:10:00,-166.00,140.00,5,4,HOME WIN
2023-06-17 00:10:00,-200.00,168.00,1,2,AWAY WIN
2023-06-17 20:10:00,-156.00,132.00,3,4,AWAY WIN
2023-06-17 20:10:00,-154.00,130.00,3,5,AWAY WIN
2023-06-18 01:10:00,-168.00,142.00,0,15,AWAY WIN
2023-06-18 18:10:00,-154.00,130.00,7,9,AWAY WIN
2023-06-18 18:10:00,-158.00,134.00,5,2,HOME WIN
2023-06-18 20:10:00,-166.00,140.00,5,1,HOME WIN
2023-06-20 22:40:00,-178.00,150.00,6,8,AWAY WIN
2023-06-20 22:40:00,-162.00,136.00,0,1,AWAY WIN
2023-06-20 23:10:00,-168.00,142.00,8,6,HOME WIN
2023-06-21 18:10:00,-158.00,134.00,10,8,HOME WIN
2023-06-22 17:10:00,-188.00,158.00,6,1,HOME WIN
2023-06-22 22:39:55,-196.00,152.00,5,6,AWAY WIN
2023-06-23 22:40:00,-172.00,144.00,1,3,AWAY WIN
2023-06-23 23:05:00,-186.00,144.00,2,4,AWAY WIN
2023-06-23 23:10:00,-162.00,136.00,1,7,AWAY WIN
2023-06-24 02:15:00,-190.00,160.00,8,5,HOME WIN
2023-06-24 20:10:00,-162.00,136.00,4,3,HOME WIN
2023-06-24 23:15:00,-184.00,154.00,8,7,HOME WIN
2023-06-25 00:40:00,-190.00,160.00,0,2,AWAY WIN
2023-06-25 17:35:00,-168.00,142.00,7,6,HOME WIN
2023-06-25 17:40:00,-174.00,146.00,2,0,HOME WIN
2023-06-25 20:10:00,-200.00,168.00,3,8,AWAY WIN
2023-06-26 23:10:00,-190.00,160.00,1,2,AWAY WIN
2023-06-26 23:20:00,-190.00,160.00,4,1,HOME WIN
2023-06-27 00:05:00,-200.00,168.00,2,7,AWAY WIN
2023-06-27 23:07:00,-215.00,166.00,0,3,AWAY WIN
2023-06-28 00:05:00,-188.00,158.00,8,3,HOME WIN
2023-06-28 01:38:00,-205.00,172.00,4,2,HOME WIN
2023-06-28 23:05:00,-178.00,150.00,7,11,AWAY WIN
2023-06-29 23:07:00,-168.00,132.00,2,1,HOME WIN
2023-06-29 23:10:00,-184.00,154.00,2,3,AWAY WIN
2023-06-30 18:20:00,-156.00,132.00,10,1,HOME WIN
2023-06-30 23:10:00,-205.00,158.00,4,5,AWAY WIN
2023-07-01 00:05:00,-178.00,150.00,3,5,AWAY WIN
2023-07-01 01:38:00,-158.00,134.00,2,6,AWAY WIN
2023-07-01 19:07:00,-154.00,130.00,6,7,AWAY WIN
2023-07-01 20:05:00,-215.00,180.00,19,4,HOME WIN
2023-07-01 20:10:00,-168.00,142.00,7,0,HOME WIN
2023-07-02 17:35:00,-184.00,154.00,6,3,HOME WIN
2023-07-02 17:37:00,-190.00,160.00,4,5,AWAY WIN
2023-07-04 01:40:00,-200.00,168.00,10,3,HOME WIN
2023-07-04 02:10:00,-168.00,142.00,5,2,HOME WIN
2023-07-04 17:10:00,-154.00,130.00,15,2,HOME WIN
2023-07-04 18:10:00,-190.00,160.00,9,3,HOME WIN
2023-07-04 22:40:00,-174.00,146.00,0,1,AWAY WIN
2023-07-05 22:40:00,-205.00,172.00,3,12,AWAY WIN
2023-07-05 22:40:00,-182.00,144.00,10,9,HOME WIN
2023-07-06 00:40:00,-178.00,150.00,5,3,HOME WIN
2023-07-06 01:05:00,-174.00,146.00,2,0,HOME WIN
2023-07-06 17:10:00,-164.00,138.00,9,0,HOME WIN
2023-07-06 22:38:00,-174.00,136.00,1,3,AWAY WIN
2023-07-07 00:30:00,-200.00,168.00,6,1,HOME WIN
2023-07-07 23:08:11,-164.00,138.00,0,3,AWAY WIN
2023-07-08 00:10:00,-154.00,130.00,1,3,AWAY WIN
2023-07-08 02:10:00,-172.00,144.00,11,4,HOME WIN
2023-07-08 02:15:00,-174.00,146.00,2,5,AWAY WIN
2023-07-08 17:05:00,-184.00,154.00,6,3,HOME WIN
2023-07-08 21:10:00,-178.00,150.00,10,6,HOME WIN
2023-07-09 02:10:00,-174.00,146.00,3,1,HOME WIN
2023-07-09 18:10:00,-156.00,132.00,2,15,AWAY WIN
2023-07-15 00:05:00,-156.00,132.00,12,4,HOME WIN
2023-07-15 00:15:00,-198.00,166.00,5,7,AWAY WIN
2023-07-15 01:38:00,-156.00,132.00,5,7,AWAY WIN
2023-07-15 02:10:00,-198.00,166.00,4,5,AWAY WIN
2023-07-15 19:07:00,-154.00,130.00,5,2,HOME WIN
2023-07-15 20:05:00,-164.00,138.00,2,0,HOME WIN
2023-07-16 00:15:00,-196.00,164.00,9,6,HOME WIN
2023-07-16 17:35:00,-172.00,144.00,1,8,AWAY WIN
2023-07-16 17:37:00,-164.00,138.00,7,5,HOME WIN
2023-07-16 18:20:00,-158.00,134.00,5,11,AWAY WIN
2023-07-16 20:10:00,-210.00,176.00,2,0,HOME WIN
2023-07-16 20:30:00,-154.00,130.00,7,6,HOME WIN
2023-07-18 22:40:00,-198.00,166.00,4,3,HOME WIN
2023-07-19 00:05:00,-188.00,158.00,17,3,HOME WIN
2023-07-19 23:10:00,-200.00,168.00,5,1,HOME WIN
2023-07-19 23:10:00,-235.00,180.00,3,2,HOME WIN
2023-07-20 00:05:00,-162.00,136.00,8,3,HOME WIN
2023-07-20 01:40:00,-166.00,140.00,3,6,AWAY WIN
2023-07-20 16:20:00,-188.00,158.00,7,5,HOME WIN
2023-07-20 22:39:58,-184.00,154.00,3,4,AWAY WIN
2023-07-21 22:40:00,-178.00,150.00,3,0,HOME WIN
2023-07-21 23:05:00,-215.00,180.00,5,4,HOME WIN
2023-07-22 00:10:00,-174.00,146.00,9,4,HOME WIN
2023-07-22 01:38:00,-188.00,158.00,8,5,HOME WIN
2023-07-22 20:10:00,-168.00,142.00,5,6,AWAY WIN
2023-07-23 01:07:00,-178.00,150.00,0,3,AWAY WIN
2023-07-23 17:35:00,-188.00,158.00,8,5,HOME WIN
2023-07-23 18:10:00,-156.00,132.00,5,4,HOME WIN
2023-07-23 23:10:00,-166.00,130.00,6,1,HOME WIN
2023-07-24 23:10:00,-196.00,164.00,3,5,AWAY WIN
2023-07-25 01:40:00,-162.00,136.00,6,10,AWAY WIN
2023-07-25 22:40:00,-210.00,176.00,4,1,HOME WIN
2023-07-25 23:10:00,-215.00,180.00,5,1,HOME WIN
2023-07-26 00:10:00,-162.00,136.00,3,4,AWAY WIN
2023-07-26 02:10:00,-168.00,142.00,8,7,HOME WIN
2023-07-26 16:10:00,-166.00,140.00,1,7,AWAY WIN
2023-07-26 20:10:00,-198.00,166.00,2,3,AWAY WIN
2023-07-26 23:05:00,-164.00,138.00,3,1,HOME WIN
2023-07-27 00:10:00,-178.00,150.00,5,13,AWAY WIN
2023-07-27 23:09:32,-196.00,164.00,2,1,HOME WIN
2023-07-28 23:10:00,-178.00,150.00,5,1,HOME WIN
2023-07-28 23:10:00,-220.00,170.00,3,0,HOME WIN
2023-07-28 23:50:00,-184.00,154.00,10,7,HOME WIN
2023-07-29 00:15:00,-162.00,136.00,2,3,AWAY WIN
2023-07-29 01:40:00,-164.00,138.00,7,1,HOME WIN
2023-07-29 02:15:00,-156.00,132.00,2,3,AWAY WIN
2023-07-29 23:10:00,-190.00,146.00,7,2,HOME WIN
2023-07-29 23:15:00,-215.00,162.00,3,2,HOME WIN
2023-07-30 00:10:00,-158.00,134.00,6,11,AWAY WIN
2023-07-30 00:40:00,-180.00,152.00,4,0,HOME WIN
2023-07-30 16:05:00,-210.00,176.00,2,3,AWAY WIN
2023-07-30 20:10:00,-190.00,160.00,0,9,AWAY WIN
2023-08-01 00:10:00,-184.00,154.00,7,3,HOME WIN
2023-08-02 00:05:00,-168.00,142.00,20,9,HOME WIN
2023-08-02 00:05:00,-200.00,168.00,2,0,HOME WIN
2023-08-02 00:10:00,-190.00,160.00,2,0,HOME WIN
