commence_time,first_home_odds,first_away_odds,home_score,away_score,result
2024-05-29 01:45:00,164.00,-196.00,1,0,HOME WIN
2024-05-30 01:38:00,162.00,-194.00,1,2,AWAY WIN
2024-06-04 22:42:47,158.00,-188.00,1,0,HOME WIN
2024-06-06 22:40:00,158.00,-188.00,7,11,AWAY WIN
2024-06-06 22:45:18,156.00,-186.00,2,5,AWAY WIN
2024-06-07 00:10:00,190.00,-230.00,2,14,AWAY WIN
2024-06-07 22:45:46,188.00,-225.00,2,1,HOME WIN
2024-06-08 01:38:00,164.00,-196.00,1,7,AWAY WIN
2024-06-08 20:10:00,176.00,-210.00,6,1,HOME WIN
2024-06-08 23:41:57,194.00,-260.00,0,8,AWAY WIN
2024-06-16 01:10:00,158.00,-188.00,16,4,HOME WIN
2024-06-19 00:10:00,180.00,-215.00,2,0,HOME WIN
2024-06-19 00:40:00,166.00,-198.00,9,11,AWAY WIN
2024-06-20 00:40:00,180.00,-215.00,7,6,HOME WIN
2024-06-27 00:10:00,168.00,-200.00,0,4,AWAY WIN
2024-06-29 23:16:00,180.00,-215.00,7,14,AWAY WIN
2024-07-07 01:11:00,162.00,-194.00,3,1,HOME WIN
2024-07-07 20:08:00,162.00,-194.00,3,6,AWAY WIN
2024-07-09 01:41:00,180.00,-215.00,4,5,AWAY WIN
2024-07-14 18:11:00,172.00,-205.00,4,9,AWAY WIN
2024-07-14 20:08:00,158.00,-188.00,3,2,HOME WIN
2024-07-23 00:40:00,158.00,-188.00,9,8,HOME WIN
2024-07-31 18:11:00,164.00,-196.00,3,10,AWAY WIN
2024-08-05 22:46:00,164.00,-196.00,1,4,AWAY WIN
2024-08-10 23:16:00,194.00,-235.00,1,3,AWAY WIN
2024-08-11 00:11:00,162.00,-194.00,8,11,AWAY WIN
2024-08-11 17:41:00,180.00,-215.00,7,6,HOME WIN
2024-08-14 22:41:08,190.00,-250.00,3,2,HOME WIN
2024-08-16 22:41:00,160.00,-190.00,0,3,AWAY WIN
2024-08-17 17:11:00,158.00,-188.00,4,0,HOME WIN
2024-08-18 00:11:00,180.00,-215.00,3,8,AWAY WIN
2024-08-18 01:39:00,188.00,-225.00,3,11,AWAY WIN
2024-08-18 19:11:00,176.00,-210.00,3,2,HOME WIN
2024-08-19 22:41:00,172.00,-205.00,6,9,AWAY WIN
2024-08-27 22:46:00,194.00,-240.00,4,2,HOME WIN
2024-08-31 00:11:00,180.00,-215.00,1,5,AWAY WIN
2024-08-31 23:11:00,164.00,-196.00,3,5,AWAY WIN
2024-09-05 01:39:00,158.00,-188.00,10,1,HOME WIN
2024-09-05 22:41:00,176.00,-210.00,2,5,AWAY WIN
2024-09-07 20:11:00,190.00,-230.00,9,5,HOME WIN
2024-09-09 23:41:00,184.00,-220.00,3,5,AWAY WIN
2024-09-10 23:41:00,184.00,-220.00,0,5,AWAY WIN
2024-09-11 18:11:00,188.00,-225.00,4,6,AWAY WIN
2024-09-14 01:39:00,188.00,-225.00,3,5,AWAY WIN
2024-09-15 20:08:00,168.00,-200.00,4,6,AWAY WIN
2024-09-19 17:11:00,172.00,-205.00,3,15,AWAY WIN
2024-09-19 20:41:00,176.00,-210.00,4,20,AWAY WIN
2024-09-20 23:11:00,158.00,-188.00,4,3,HOME WIN
2024-09-21 01:41:00,168.00,-200.00,2,4,AWAY WIN
2024-09-21 20:11:00,194.00,-235.00,2,6,AWAY WIN
2024-09-22 17:41:00,162.00,-194.00,4,5,AWAY WIN
2024-09-27 22:46:00,160.00,-190.00,9,1,HOME WIN
2024-09-28 20:06:00,184.00,-220.00,6,3,HOME WIN
