commence_time,first_home_odds,last_home_odds,home_line_movement,first_away_odds,last_away_odds,away_line_movement,home_score,away_score,result
2023-04-11 22:35:00,148.00,160.00,12.00,-176.00,-210.00,-34.00,7,4,HOME WIN
2023-09-05 01:38:00,144.00,156.00,12.00,-172.00,-186.00,-14.00,3,6,AWAY WIN
2023-08-19 01:40:00,154.00,164.00,10.00,-184.00,-196.00,-12.00,4,9,AWAY WIN
2023-05-28 01:10:00,168.00,176.00,8.00,-200.00,-210.00,-10.00,10,7,HOME WIN
2023-06-04 02:10:00,176.00,184.00,8.00,-210.00,-220.00,-10.00,2,5,AWAY WIN
2024-08-31 01:39:00,148.00,156.00,8.00,-176.00,-186.00,-10.00,5,9,AWAY WIN
2023-04-08 01:40:00,188.00,194.00,6.00,-225.00,-240.00,-15.00,6,3,HOME WIN
2023-05-04 01:40:00,158.00,164.00,6.00,-188.00,-196.00,-8.00,2,7,AWAY WIN
2023-09-26 01:38:00,152.00,158.00,6.00,-180.00,-188.00,-8.00,1,5,AWAY WIN
2024-05-29 23:40:00,150.00,156.00,6.00,-178.00,-200.00,-22.00,1,3,AWAY WIN
2024-08-11 00:11:00,162.00,168.00,6.00,-194.00,-200.00,-6.00,8,11,AWAY WIN
2024-08-29 00:11:00,154.00,160.00,6.00,-184.00,-190.00,-6.00,3,4,AWAY WIN
2024-09-03 00:06:00,154.00,160.00,6.00,-184.00,-190.00,-6.00,4,8,AWAY WIN
2023-09-02 00:40:00,158.00,162.00,4.00,-188.00,-194.00,-6.00,9,13,AWAY WIN
2024-05-11 00:40:00,156.00,160.00,4.00,-186.00,-190.00,-4.00,4,2,HOME WIN
2024-05-25 00:40:00,172.00,176.00,4.00,-205.00,-210.00,-5.00,3,2,HOME WIN
2024-07-31 00:11:00,152.00,156.00,4.00,-180.00,-186.00,-6.00,3,4,AWAY WIN
2024-08-31 00:11:00,180.00,184.00,4.00,-215.00,-220.00,-5.00,1,5,AWAY WIN
2024-06-29 23:16:00,180.00,182.00,2.00,-215.00,-240.00,-25.00,7,14,AWAY WIN
2023-04-06 18:10:00,168.00,168.00,0.00,-200.00,-200.00,0.00,3,6,AWAY WIN
2023-04-10 22:35:00,158.00,158.00,0.00,-188.00,-188.00,0.00,2,8,AWAY WIN
2023-04-12 16:35:00,158.00,158.00,0.00,-188.00,-188.00,0.00,0,7,AWAY WIN
2023-04-15 20:07:00,162.00,162.00,0.00,-194.00,-194.00,0.00,2,3,AWAY WIN
2023-04-16 17:35:00,194.00,194.00,0.00,-240.00,-240.00,0.00,7,6,HOME WIN
2023-04-16 17:40:00,158.00,158.00,0.00,-188.00,-188.00,0.00,3,14,AWAY WIN
2023-04-19 16:35:00,176.00,176.00,0.00,-210.00,-210.00,0.00,0,8,AWAY WIN
2023-04-30 18:10:00,158.00,158.00,0.00,-188.00,-188.00,0.00,12,9,HOME WIN
2023-05-04 17:10:00,160.00,160.00,0.00,-190.00,-190.00,0.00,2,0,HOME WIN
2023-05-08 22:10:00,194.00,194.00,0.00,-260.00,-260.00,0.00,2,6,AWAY WIN
2023-05-14 17:35:00,176.00,176.00,0.00,-210.00,-210.00,0.00,2,8,AWAY WIN
2023-05-16 01:40:00,184.00,184.00,0.00,-220.00,-220.00,0.00,2,5,AWAY WIN
2023-05-25 20:05:00,158.00,158.00,0.00,-188.00,-188.00,0.00,6,8,AWAY WIN
2023-05-27 00:40:00,176.00,176.00,0.00,-210.00,-210.00,0.00,2,5,AWAY WIN
2023-05-31 19:37:00,194.00,194.00,0.00,-240.00,-240.00,0.00,2,4,AWAY WIN
2023-06-08 16:35:00,180.00,180.00,0.00,-215.00,-215.00,0.00,0,6,AWAY WIN
2023-06-11 15:35:00,194.00,194.00,0.00,-240.00,-240.00,0.00,5,7,AWAY WIN
2023-06-11 19:10:00,158.00,158.00,0.00,-188.00,-188.00,0.00,5,4,HOME WIN
2023-06-14 01:40:00,176.00,176.00,0.00,-210.00,-210.00,0.00,2,1,HOME WIN
2023-06-15 19:37:00,158.00,158.00,0.00,-188.00,-188.00,0.00,3,4,AWAY WIN
2023-06-28 23:10:00,156.00,156.00,0.00,-205.00,-205.00,0.00,2,6,AWAY WIN
2023-06-29 00:40:00,168.00,168.00,0.00,-200.00,-200.00,0.00,9,8,HOME WIN
2023-06-29 16:35:00,166.00,166.00,0.00,-198.00,-198.00,0.00,5,4,HOME WIN
2023-07-02 18:10:00,172.00,172.00,0.00,-205.00,-205.00,0.00,9,1,HOME WIN
2023-07-07 23:04:44,184.00,184.00,0.00,-240.00,-240.00,0.00,2,7,AWAY WIN
2023-07-08 17:10:00,176.00,176.00,0.00,-210.00,-210.00,0.00,2,0,HOME WIN
2023-07-09 16:05:00,172.00,172.00,0.00,-205.00,-205.00,0.00,7,2,HOME WIN
2023-07-15 01:40:00,172.00,172.00,0.00,-205.00,-205.00,0.00,4,5,AWAY WIN
2023-07-16 20:07:00,176.00,176.00,0.00,-210.00,-210.00,0.00,4,5,AWAY WIN
2023-07-19 00:40:00,184.00,184.00,0.00,-220.00,-220.00,0.00,4,3,HOME WIN
2023-07-19 22:40:00,172.00,172.00,0.00,-225.00,-225.00,0.00,3,5,AWAY WIN
2023-07-23 20:07:00,194.00,194.00,0.00,-240.00,-240.00,0.00,2,3,AWAY WIN
2023-07-24 23:05:14,168.00,168.00,0.00,-215.00,-215.00,0.00,6,10,AWAY WIN
2023-08-01 01:30:00,184.00,184.00,0.00,-220.00,-220.00,0.00,4,3,HOME WIN
2023-08-02 19:10:00,194.00,194.00,0.00,-240.00,-240.00,0.00,1,11,AWAY WIN
2023-08-06 17:40:00,158.00,158.00,0.00,-188.00,-188.00,0.00,6,10,AWAY WIN
2023-08-06 20:07:00,164.00,164.00,0.00,-196.00,-196.00,0.00,8,6,HOME WIN
2023-08-08 01:40:00,188.00,188.00,0.00,-225.00,-225.00,0.00,3,5,AWAY WIN
2023-08-10 16:35:00,176.00,176.00,0.00,-210.00,-210.00,0.00,7,5,HOME WIN
2023-08-15 00:40:00,188.00,188.00,0.00,-225.00,-225.00,0.00,6,4,HOME WIN
2023-08-17 00:10:00,172.00,172.00,0.00,-205.00,-205.00,0.00,5,6,AWAY WIN
2023-08-17 20:05:00,166.00,166.00,0.00,-198.00,-198.00,0.00,10,7,HOME WIN
