commence_time,first_away_odds,last_away_odds,away_line_movement,first_home_odds,last_home_odds,home_line_movement,home_score,away_score,result
2024-09-15 00:11:00,118.00,134.00,16.00,-138.00,-158.00,-20.00,8,15,AWAY WIN
2024-09-15 01:41:00,124.00,140.00,16.00,-146.00,-166.00,-20.00,5,4,HOME WIN
2024-09-19 23:16:00,116.00,132.00,16.00,-134.00,-170.00,-36.00,10,6,HOME WIN
2023-04-21 23:05:00,152.00,166.00,14.00,-180.00,-215.00,-35.00,2,1,HOME WIN
2023-05-23 00:00:00,118.00,132.00,14.00,-138.00,-156.00,-18.00,6,8,AWAY WIN
2023-05-30 23:10:00,166.00,180.00,14.00,-198.00,-235.00,-37.00,8,9,AWAY WIN
2023-08-05 00:10:00,146.00,160.00,14.00,-174.00,-190.00,-16.00,4,8,AWAY WIN
2023-08-17 00:40:00,140.00,154.00,14.00,-166.00,-184.00,-18.00,5,2,HOME WIN
2023-09-19 00:05:00,140.00,154.00,14.00,-166.00,-184.00,-18.00,2,4,AWAY WIN
2023-09-20 00:05:00,118.00,132.00,14.00,-138.00,-156.00,-18.00,6,4,HOME WIN
2024-03-28 19:05:00,136.00,150.00,14.00,-162.00,-178.00,-16.00,11,3,HOME WIN
2024-04-14 23:45:00,144.00,158.00,14.00,-172.00,-205.00,-33.00,3,6,AWAY WIN
2024-05-01 00:10:00,130.00,144.00,14.00,-154.00,-172.00,-18.00,10,9,HOME WIN
2024-06-04 00:10:00,138.00,152.00,14.00,-164.00,-180.00,-16.00,7,4,HOME WIN
2024-07-11 01:45:00,118.00,132.00,14.00,-138.00,-156.00,-18.00,6,10,AWAY WIN
2024-07-24 02:11:00,116.00,130.00,14.00,-134.00,-154.00,-20.00,5,2,HOME WIN
2023-04-25 01:38:00,168.00,180.00,12.00,-200.00,-215.00,-15.00,10,11,AWAY WIN
2023-04-30 01:10:00,120.00,132.00,12.00,-142.00,-156.00,-14.00,1,0,HOME WIN
2023-07-08 00:10:00,130.00,142.00,12.00,-154.00,-168.00,-14.00,1,3,AWAY WIN
2023-07-29 01:40:00,138.00,150.00,12.00,-164.00,-178.00,-14.00,7,1,HOME WIN
2023-08-16 00:05:00,142.00,154.00,12.00,-168.00,-184.00,-16.00,3,5,AWAY WIN
2024-04-11 00:05:00,154.00,166.00,12.00,-184.00,-198.00,-14.00,6,2,HOME WIN
2024-04-14 01:10:00,164.00,176.00,12.00,-196.00,-210.00,-14.00,5,2,HOME WIN
2024-04-19 23:20:00,158.00,170.00,12.00,-188.00,-220.00,-32.00,8,3,HOME WIN
2024-08-28 01:40:00,126.00,138.00,12.00,-148.00,-164.00,-16.00,2,3,AWAY WIN
2024-08-31 00:11:00,140.00,152.00,12.00,-166.00,-180.00,-14.00,3,2,HOME WIN
2024-09-10 02:11:00,146.00,158.00,12.00,-174.00,-188.00,-14.00,4,10,AWAY WIN
2024-09-11 23:06:00,130.00,142.00,12.00,-154.00,-184.00,-30.00,4,3,HOME WIN
