commence_time,last_home_odds,last_away_odds,home_score,away_score,result
2023-04-18 23:05:00,134.00,-172.00,2,5,AWAY WIN
2023-04-18 23:10:00,-290.00,210.00,5,4,HOME WIN
2023-04-18 23:40:00,-220.00,172.00,3,0,HOME WIN
2023-04-18 23:40:00,-174.00,136.00,2,12,AWAY WIN
2023-04-18 23:45:00,-210.00,160.00,7,8,AWAY WIN
2023-04-19 00:10:00,-108.00,-108.00,2,4,AWAY WIN
2023-04-19 00:40:00,-108.00,-108.00,3,5,AWAY WIN
2023-04-19 01:40:00,120.00,-142.00,1,8,AWAY WIN
2023-04-19 01:40:00,168.00,-200.00,0,4,AWAY WIN
2023-04-19 01:40:00,-168.00,142.00,5,6,AWAY WIN
2023-04-19 02:10:00,-154.00,130.00,5,0,HOME WIN
2023-04-19 16:35:00,176.00,-210.00,0,8,AWAY WIN
2023-04-19 17:10:00,120.00,-142.00,2,3,AWAY WIN
2023-04-19 17:10:00,102.00,-120.00,2,5,AWAY WIN
2023-04-19 17:15:00,-196.00,164.00,14,5,HOME WIN
2023-04-19 18:10:00,-102.00,-116.00,2,5,AWAY WIN
2023-04-19 18:10:00,-108.00,-108.00,3,12,AWAY WIN
2023-04-19 19:10:00,-102.00,-116.00,3,14,AWAY WIN
2023-04-19 19:10:00,116.00,-136.00,3,5,AWAY WIN
2023-04-19 19:37:00,144.00,-172.00,2,12,AWAY WIN
2023-04-19 20:10:00,-108.00,-108.00,1,0,HOME WIN
2023-04-19 20:10:00,-132.00,112.00,3,5,AWAY WIN
2023-04-19 23:05:00,235.00,-320.00,0,4,AWAY WIN
2023-04-19 23:05:00,-480.00,330.00,3,2,HOME WIN
2023-04-19 23:10:00,890.00,-1600.00,4,10,AWAY WIN
2023-04-20 00:10:00,-108.00,-108.00,8,1,HOME WIN
2023-04-20 17:35:00,-124.00,106.00,11,5,HOME WIN
2023-04-20 20:05:00,-152.00,128.00,9,3,HOME WIN
2023-04-20 22:35:00,-4500.00,1650.00,4,3,HOME WIN
2023-04-20 22:40:00,180.00,-235.00,0,5,AWAY WIN
2023-04-21 00:05:00,-104.00,-112.00,2,6,AWAY WIN
2023-04-21 01:40:00,122.00,-144.00,5,7,AWAY WIN
2023-04-21 01:45:00,104.00,-122.00,4,9,AWAY WIN
2023-04-21 18:20:00,138.00,-164.00,13,0,HOME WIN
2023-04-21 22:35:00,-124.00,-102.00,4,2,HOME WIN
2023-04-21 22:40:00,245.00,-340.00,8,7,HOME WIN
2023-04-21 23:05:00,-215.00,166.00,2,1,HOME WIN
2023-04-21 23:05:00,178.00,-230.00,4,3,HOME WIN
2023-04-21 23:05:00,118.00,-150.00,1,6,AWAY WIN
2023-04-21 23:20:00,-800.00,480.00,4,6,AWAY WIN
2023-04-22 00:05:00,-240.00,198.00,4,5,AWAY WIN
2023-04-22 00:10:00,-172.00,144.00,3,5,AWAY WIN
2023-04-22 00:10:00,-245.00,200.00,2,3,AWAY WIN
2023-04-22 01:38:00,-255.00,210.00,2,0,HOME WIN
2023-04-22 01:40:00,-104.00,-112.00,9,0,HOME WIN
2023-04-22 02:10:00,-130.00,110.00,5,2,HOME WIN
2023-04-22 02:15:00,-116.00,-102.00,0,7,AWAY WIN
2023-04-22 17:05:00,-162.00,136.00,3,2,HOME WIN
2023-04-22 18:10:00,-275.00,225.00,4,10,AWAY WIN
2023-04-22 18:20:00,124.00,-146.00,4,9,AWAY WIN
2023-04-22 19:05:00,-168.00,142.00,4,3,HOME WIN
2023-04-22 20:05:00,-172.00,144.00,4,3,HOME WIN
2023-04-22 20:05:00,-126.00,108.00,7,4,HOME WIN
2023-04-22 23:00:11,-410.00,280.00,2,1,HOME WIN
2023-04-22 23:04:58,-380.00,270.00,5,1,HOME WIN
2023-04-22 23:05:00,-1300.00,690.00,18,3,HOME WIN
2023-04-22 23:10:00,-800.00,490.00,5,4,HOME WIN
2023-04-22 23:19:35,100.00,-128.00,3,6,AWAY WIN
2023-04-23 00:10:00,126.00,-148.00,3,5,AWAY WIN
2023-04-23 00:10:00,-134.00,116.00,2,3,AWAY WIN
2023-04-23 01:07:00,-178.00,150.00,8,11,AWAY WIN
2023-04-23 01:40:00,-164.00,138.00,5,4,HOME WIN
2023-04-23 16:05:00,-290.00,235.00,9,3,HOME WIN
2023-04-23 17:30:00,-148.00,126.00,2,5,AWAY WIN
2023-04-23 17:35:00,-166.00,140.00,2,1,HOME WIN
2023-04-23 17:35:00,-108.00,-108.00,2,0,HOME WIN
2023-04-23 17:35:00,114.00,-134.00,1,5,AWAY WIN
2023-04-23 18:10:00,-172.00,144.00,5,12,AWAY WIN
2023-04-23 18:10:00,-200.00,168.00,3,1,HOME WIN
2023-04-23 18:20:00,114.00,-134.00,3,7,AWAY WIN
2023-04-23 18:35:00,-310.00,250.00,5,2,HOME WIN
2023-04-23 20:07:00,-200.00,168.00,4,3,HOME WIN
2023-04-23 20:10:00,120.00,-142.00,5,7,AWAY WIN
2023-04-23 20:10:00,100.00,-118.00,3,7,AWAY WIN
2023-04-23 23:10:00,-190.00,148.00,5,4,HOME WIN
2023-04-24 22:09:31,-200.00,168.00,0,6,AWAY WIN
2023-04-24 22:35:00,-550.00,340.00,5,4,HOME WIN
2023-04-24 22:39:54,-1450.00,750.00,8,3,HOME WIN
2023-04-24 22:40:00,240.00,-340.00,7,6,HOME WIN
2023-04-24 23:07:00,198.00,-260.00,5,2,HOME WIN
2023-04-24 23:20:00,-310.00,220.00,11,0,HOME WIN
2023-04-24 23:40:00,-160.00,126.00,2,4,AWAY WIN
2023-04-24 23:40:00,-200.00,154.00,6,1,HOME WIN
2023-04-25 01:38:00,-215.00,180.00,10,11,AWAY WIN
2023-04-25 01:40:00,-156.00,132.00,5,4,HOME WIN
2023-04-25 01:45:00,-108.00,-108.00,4,0,HOME WIN
2023-04-25 22:10:00,1000.00,-2000.00,1,5,AWAY WIN
2023-04-25 22:35:00,2400.00,-6000.00,6,8,AWAY WIN
2023-04-25 22:36:31,-3000.00,1260.00,7,8,AWAY WIN
2023-04-25 22:39:52,156.00,-205.00,0,5,AWAY WIN
2023-04-25 22:40:32,860.00,-1600.00,7,6,HOME WIN
2023-04-25 22:42:23,220.00,-300.00,3,5,AWAY WIN
2023-04-25 23:07:00,-1250.00,630.00,7,0,HOME WIN
2023-04-25 23:10:00,138.00,-176.00,0,5,AWAY WIN
2023-04-25 23:19:56,-260.00,194.00,7,4,HOME WIN
2023-04-25 23:39:47,-130.00,104.00,6,0,HOME WIN
2023-04-25 23:40:00,-225.00,172.00,3,4,AWAY WIN
2023-04-25 23:42:05,116.00,-148.00,6,2,HOME WIN
2023-04-26 01:38:00,-180.00,152.00,5,3,HOME WIN
2023-04-26 01:40:00,-142.00,120.00,4,5,AWAY WIN
2023-04-26 01:45:00,-116.00,-102.00,5,4,HOME WIN
2023-04-26 16:35:00,104.00,-122.00,5,3,HOME WIN
2023-04-26 17:05:00,-118.00,100.00,6,2,HOME WIN
2023-04-26 17:07:00,-166.00,140.00,8,0,HOME WIN
2023-04-26 17:10:00,-126.00,108.00,6,12,AWAY WIN
2023-04-26 17:40:00,-225.00,188.00,6,2,HOME WIN
2023-04-26 19:40:00,-255.00,210.00,2,0,HOME WIN
2023-04-26 22:35:00,-192.00,150.00,8,1,HOME WIN
2023-04-26 22:40:00,132.00,-168.00,0,1,AWAY WIN
2023-04-26 22:55:00,215.00,-290.00,6,5,HOME WIN
2023-04-26 23:10:00,120.00,-152.00,1,4,AWAY WIN
2023-04-26 23:20:00,188.00,-250.00,6,4,HOME WIN
2023-04-26 23:39:36,-116.00,-102.00,3,5,AWAY WIN
2023-04-27 01:38:00,-260.00,215.00,11,3,HOME WIN
2023-04-27 01:45:00,-112.00,-104.00,7,3,HOME WIN
2023-04-27 16:20:00,-198.00,166.00,4,5,AWAY WIN
2023-04-27 16:35:00,144.00,-172.00,6,2,HOME WIN
2023-04-27 17:05:00,-108.00,-108.00,1,0,HOME WIN
2023-04-27 18:20:00,118.00,-138.00,5,2,HOME WIN
2023-04-27 19:45:00,-148.00,126.00,0,6,AWAY WIN
2023-04-27 20:07:00,-335.00,270.00,8,7,HOME WIN
2023-04-27 22:40:00,-550.00,350.00,4,7,AWAY WIN
2023-04-27 23:10:00,540.00,-770.00,5,14,AWAY WIN
2023-04-27 23:10:00,-290.00,215.00,9,8,HOME WIN
2023-04-27 23:40:00,-340.00,275.00,7,1,HOME WIN
2023-04-28 00:05:00,154.00,-184.00,2,4,AWAY WIN
2023-04-28 22:05:00,-225.00,188.00,8,6,HOME WIN
2023-04-28 22:40:00,-104.00,-112.00,3,2,HOME WIN
2023-04-28 23:07:00,-116.00,-108.00,3,2,HOME WIN
2023-04-28 23:10:00,220.00,-310.00,2,5,AWAY WIN
2023-04-28 23:10:00,-146.00,116.00,2,3,AWAY WIN
2023-04-29 00:05:00,-235.00,194.00,5,2,HOME WIN
2023-04-29 00:10:00,-146.00,124.00,1,3,AWAY WIN
2023-04-29 00:10:00,-134.00,114.00,2,1,HOME WIN
2023-04-29 00:40:00,106.00,-124.00,1,9,AWAY WIN
2023-04-29 01:40:00,-102.00,-116.00,7,11,AWAY WIN
2023-04-29 02:10:00,-138.00,118.00,7,3,HOME WIN
2023-04-29 18:10:00,-230.00,190.00,2,3,AWAY WIN
2023-04-29 21:10:00,-120.00,102.00,1,6,AWAY WIN
2023-04-29 21:10:00,2200.00,-8000.00,4,6,AWAY WIN
2023-04-29 22:05:00,-116.00,-102.00,16,11,HOME WIN
2023-04-29 23:05:00,-182.00,142.00,2,0,HOME WIN
2023-04-29 23:10:00,-230.00,178.00,3,12,AWAY WIN
2023-04-29 23:10:00,-166.00,130.00,7,5,HOME WIN
2023-04-30 00:10:00,-116.00,-102.00,4,11,AWAY WIN
2023-04-30 01:10:00,-156.00,132.00,1,0,HOME WIN
2023-04-30 16:05:00,126.00,-148.00,4,3,HOME WIN
2023-04-30 17:35:00,-134.00,114.00,7,1,HOME WIN
2023-04-30 17:35:00,114.00,-134.00,7,2,HOME WIN
2023-04-30 17:37:00,-168.00,142.00,8,10,AWAY WIN
2023-04-30 17:40:00,122.00,-144.00,3,5,AWAY WIN
2023-04-30 18:10:00,158.00,-188.00,12,9,HOME WIN
2023-04-30 18:10:00,-205.00,172.00,8,4,HOME WIN
2023-04-30 18:10:00,-118.00,100.00,0,3,AWAY WIN
2023-04-30 18:35:00,-102.00,-116.00,15,2,HOME WIN
2023-04-30 19:10:00,110.00,-130.00,12,4,HOME WIN
2023-04-30 20:05:00,-142.00,120.00,6,4,HOME WIN
2023-04-30 20:07:00,130.00,-154.00,5,4,HOME WIN
2023-04-30 20:10:00,-138.00,118.00,6,3,HOME WIN
2023-04-30 23:09:55,-400.00,280.00,4,3,HOME WIN
2023-05-01 23:05:00,172.00,-225.00,1,5,AWAY WIN
2023-05-01 23:05:00,-500.00,385.00,2,3,AWAY WIN
2023-05-01 23:10:00,138.00,-174.00,6,5,HOME WIN
2023-05-02 00:10:00,-198.00,166.00,7,3,HOME WIN
2023-05-02 01:40:00,-210.00,176.00,8,3,HOME WIN
2023-05-02 02:10:00,-164.00,138.00,13,4,HOME WIN
2023-05-02 22:40:00,590.00,-1000.00,0,6,AWAY WIN
2023-05-02 22:40:00,-370.00,260.00,4,1,HOME WIN
2023-05-02 23:05:00,-152.00,120.00,4,1,HOME WIN
2023-05-02 23:05:00,154.00,-200.00,4,2,HOME WIN
2023-05-02 23:10:00,-240.00,186.00,7,6,HOME WIN
