commence_time,last_home_odds,last_away_odds,last_total,last_over_odds,last_under_odds,home_score,away_score,total_runs,result,ou_result
2023-04-14 22:40:00,-174.00,134.00,7.5,1.74,2.06,7,5,12,HOME WIN,OVER
2023-04-14 23:04:00,-106.00,-118.00,5.5,2.00,1.78,3,4,7,AWAY WIN,OVER
2023-04-14 23:05:00,-360.00,250.00,7.5,1.76,2.04,3,4,7,AWAY WIN,UNDER
2023-04-14 23:07:00,-340.00,245.00,8.5,1.98,1.80,6,3,9,HOME WIN,OVER
2023-04-14 23:10:00,-166.00,140.00,6.5,1.83,1.98,3,6,9,AWAY WIN,OVER
2023-04-14 23:10:00,220.00,-310.00,8.5,1.70,2.12,5,3,8,HOME WIN,UNDER
2023-04-15 00:10:00,114.00,-134.00,9.0,1.87,1.95,3,10,13,AWAY WIN,OVER
2023-04-15 00:10:00,-172.00,144.00,8.5,1.85,1.96,2,6,8,AWAY WIN,UNDER
2023-04-15 00:15:00,-158.00,134.00,9.0,1.96,1.85,3,0,3,HOME WIN,UNDER
2023-04-15 01:40:00,-168.00,142.00,8.5,1.82,2.00,2,11,13,AWAY WIN,OVER
2023-04-15 01:40:00,190.00,-230.00,8.0,1.85,1.96,6,17,23,AWAY WIN,OVER
2023-04-15 02:10:00,-162.00,136.00,8.5,2.00,1.82,2,8,10,AWAY WIN,OVER
2023-04-15 02:10:00,-166.00,140.00,8.5,1.87,1.95,5,3,8,HOME WIN,UNDER
2023-04-15 17:05:00,-138.00,118.00,8.0,1.91,1.91,6,1,7,HOME WIN,UNDER
2023-04-15 18:10:00,100.00,-118.00,9.0,1.91,1.91,7,6,13,HOME WIN,OVER
2023-04-15 18:15:00,-180.00,152.00,9.0,1.98,1.83,3,6,9,AWAY WIN,PUSH
2023-04-15 20:05:00,-124.00,106.00,8.0,1.96,1.85,10,3,13,HOME WIN,OVER
2023-04-15 20:07:00,162.00,-194.00,9.0,2.00,1.82,2,3,5,AWAY WIN,UNDER
2023-04-15 20:10:00,-132.00,112.00,8.5,1.82,2.00,3,2,5,HOME WIN,UNDER
2023-04-15 20:10:00,100.00,-118.00,9.5,1.91,1.91,9,7,16,HOME WIN,OVER
2023-04-15 20:10:00,112.00,-132.00,9.5,1.91,1.91,13,0,13,HOME WIN,OVER
2023-04-15 21:45:25,390.00,-600.00,10.5,1.59,2.32,4,6,10,AWAY WIN,UNDER
2023-04-15 22:45:00,640.00,-1200.00,9.5,2.24,1.63,3,9,12,AWAY WIN,OVER
2023-04-15 23:09:42,120.00,-150.00,8.5,2.06,1.74,8,2,10,HOME WIN,OVER
2023-04-16 01:10:00,-144.00,122.00,9.0,1.95,1.87,2,1,3,HOME WIN,UNDER
2023-04-16 01:40:00,-250.00,205.00,8.0,1.94,1.88,9,2,11,HOME WIN,OVER
2023-04-16 17:35:00,-112.00,-104.00,9.5,1.95,1.87,2,1,3,HOME WIN,UNDER
2023-04-16 17:35:00,194.00,-240.00,9.0,1.95,1.87,7,6,13,HOME WIN,OVER
2023-04-16 17:35:00,-168.00,142.00,7.0,1.91,1.91,2,0,2,HOME WIN,UNDER
2023-04-16 17:37:00,-102.00,-116.00,8.5,1.83,1.98,1,8,9,AWAY WIN,OVER
2023-04-16 17:40:00,-134.00,116.00,7.0,1.91,1.91,0,5,5,AWAY WIN,UNDER
2023-04-16 17:40:00,158.00,-188.00,9.5,1.96,1.85,3,14,17,AWAY WIN,OVER
2023-04-16 18:10:00,136.00,-162.00,8.5,1.87,1.95,4,5,9,AWAY WIN,OVER
2023-04-16 18:10:00,-138.00,118.00,8.5,1.98,1.83,4,8,12,AWAY WIN,OVER
2023-04-16 18:15:00,-184.00,154.00,8.0,1.91,1.91,5,4,9,HOME WIN,OVER
2023-04-16 20:10:00,-245.00,200.00,8.5,1.91,1.91,2,3,5,AWAY WIN,UNDER
2023-04-16 20:10:00,-174.00,146.00,8.0,1.91,1.91,0,1,1,AWAY WIN,UNDER
2023-04-16 23:10:00,-260.00,190.00,5.5,1.93,1.85,1,9,10,AWAY WIN,OVER
2023-04-17 15:10:00,132.00,-156.00,9.0,1.95,1.87,4,5,9,AWAY WIN,PUSH
2023-04-17 22:40:00,-800.00,480.00,8.5,1.78,2.00,8,1,9,HOME WIN,OVER
2023-04-17 22:40:00,220.00,-310.00,7.5,1.94,1.83,4,3,7,HOME WIN,UNDER
2023-04-17 23:39:31,820.00,-1600.00,9.5,1.85,1.93,0,4,4,AWAY WIN,UNDER
2023-04-17 23:45:00,-116.00,-112.00,8.5,1.77,2.02,3,6,9,AWAY WIN,OVER
2023-04-18 00:10:00,100.00,-118.00,8.0,1.89,1.93,9,2,11,HOME WIN,OVER
2023-04-18 00:40:00,-138.00,118.00,11.5,1.85,1.96,3,14,17,AWAY WIN,OVER
2023-04-18 01:40:00,128.00,-152.00,8.5,1.94,1.88,0,2,2,AWAY WIN,UNDER
2023-04-18 01:40:00,118.00,-138.00,8.0,1.91,1.91,1,10,11,AWAY WIN,OVER
2023-04-18 01:40:00,126.00,-148.00,7.5,1.85,1.96,3,7,10,AWAY WIN,OVER
2023-04-18 02:10:00,-164.00,138.00,8.5,1.91,1.91,6,8,14,AWAY WIN,OVER
2023-04-18 22:40:00,-450.00,300.00,10.5,1.94,1.83,4,2,6,HOME WIN,UNDER
2023-04-18 23:05:00,-108.00,-118.00,6.5,2.00,1.78,0,1,1,AWAY WIN,UNDER
2023-04-18 23:05:00,134.00,-172.00,8.5,1.78,2.00,2,5,7,AWAY WIN,UNDER
2023-04-18 23:10:00,-290.00,210.00,8.5,1.93,1.85,5,4,9,HOME WIN,OVER
2023-04-18 23:40:00,-220.00,172.00,7.5,1.85,1.96,3,0,3,HOME WIN,UNDER
2023-04-18 23:40:00,-174.00,136.00,9.5,1.98,1.80,2,12,14,AWAY WIN,OVER
2023-04-18 23:45:00,-210.00,160.00,7.5,1.78,2.00,7,8,15,AWAY WIN,OVER
2023-04-19 00:10:00,-108.00,-108.00,9.0,1.95,1.87,2,4,6,AWAY WIN,UNDER
2023-04-19 00:40:00,-108.00,-108.00,13.0,1.89,1.93,3,5,8,AWAY WIN,UNDER
2023-04-19 01:40:00,120.00,-142.00,7.5,1.95,1.87,1,8,9,AWAY WIN,OVER
2023-04-19 01:40:00,168.00,-200.00,7.5,1.83,1.98,0,4,4,AWAY WIN,UNDER
2023-04-19 01:40:00,-168.00,142.00,8.0,1.93,1.89,5,6,11,AWAY WIN,OVER
2023-04-19 02:10:00,-154.00,130.00,8.5,1.95,1.87,5,0,5,HOME WIN,UNDER
2023-04-19 16:35:00,176.00,-210.00,10.0,1.95,1.87,0,8,8,AWAY WIN,UNDER
2023-04-19 17:10:00,120.00,-142.00,8.5,1.96,1.85,2,3,5,AWAY WIN,UNDER
2023-04-19 17:10:00,102.00,-120.00,8.0,1.95,1.87,2,5,7,AWAY WIN,UNDER
2023-04-19 17:15:00,-196.00,164.00,10.0,1.85,1.96,14,5,19,HOME WIN,OVER
2023-04-19 18:10:00,-102.00,-116.00,8.5,1.91,1.91,2,5,7,AWAY WIN,UNDER
2023-04-19 18:10:00,-108.00,-108.00,9.0,1.91,1.91,3,12,15,AWAY WIN,OVER
2023-04-19 19:10:00,-102.00,-116.00,11.5,1.93,1.89,3,14,17,AWAY WIN,OVER
2023-04-19 19:10:00,116.00,-136.00,8.5,1.95,1.87,3,5,8,AWAY WIN,UNDER
2023-04-19 19:37:00,144.00,-172.00,8.0,2.00,1.82,2,12,14,AWAY WIN,OVER
2023-04-19 20:10:00,-108.00,-108.00,9.0,1.95,1.87,1,0,1,HOME WIN,UNDER
2023-04-19 20:10:00,-132.00,112.00,8.5,1.96,1.85,3,5,8,AWAY WIN,UNDER
2023-04-19 23:05:00,235.00,-320.00,6.5,1.76,2.04,0,4,4,AWAY WIN,UNDER
2023-04-19 23:05:00,-480.00,330.00,8.5,1.93,1.85,3,2,5,HOME WIN,UNDER
2023-04-19 23:10:00,890.00,-1600.00,11.5,2.02,1.77,4,10,14,AWAY WIN,OVER
2023-04-20 00:10:00,-108.00,-108.00,9.0,1.95,1.87,8,1,9,HOME WIN,PUSH
